Tabela 2 - Gorduras e açúcar na composição de alimentos por 100 gramas de parte comestível,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,(continuação)
Código e descrição do alimento ,,Código e descrição da preparação,,"Coles-
terol
(mg)","AG
Satura-
dos
(g)","AG
Mono 
(g)","AG
Poli 
(g)","AG
Lino-
léico 
(g)","AG
Linolê-
nico 
(g)","AG
Trans
total
(g)","Açúcar
total
(g)","Açúcar
de
adição
(g)"
Cereais e leguminosas,,,,,,,,,,,,
6401801,Batata-inglesa orgânica,5,Frito(a),-,"2,15","3,07","7,85","6,92","0,93","0,07","1,44",-
"Farinhas, féculas e massas",,,,,,,,,,,,
6500101,Creme de arroz,99,Não se aplica,"9,63","1,84","0,83","0,23","0,15","0,08","0,11","17,40","12,33"
6500104,Arrozina,99,Não se aplica,"9,63","1,84","0,83","0,23","0,15","0,08","0,11","17,40","12,33"
6500105,Mucilon,99,Não se aplica,"6,02","1,35","0,89","0,56","0,50","0,06","0,23","7,20","2,08"
6500108,Mingau de arroz,99,Não se aplica,"9,63","1,84","0,83","0,23","0,15","0,08","0,11","17,40","12,33"
6500202,Croquinhos de arroz,99,Não se aplica,-,"0,70","1,10","2,56","2,50","0,06",-,"0,86",-
6500301,Farinha de aveia,99,Não se aplica,-,"1,11","1,98","2,30","2,20","0,10",-,"1,57",-
6500401,Aveia em flocos,99,Não se aplica,-,"1,11","1,98","2,30","2,20","0,10",-,"1,57",-
6500601,Fubá de milho,99,Não se aplica,-,"0,03","0,05","0,08","0,08",-,-,"0,52",-
6500603,Farinha de milho,99,Não se aplica,-,"0,40","0,40","0,60","0,63","0,02",-,-,-
6500608,Puba de milho,99,Não se aplica,"82,00","4,50","3,90","1,50","1,34","0,08","1,99","8,27","5,68"
6500609,Puba de fubá,99,Não se aplica,"82,00","4,50","3,90","1,50","1,34","0,08","1,99","8,27","5,68"
6500613,Milho moído,2,Cozido(a),-,"1,12","1,72","4,01","3,59","0,42","0,03","3,16",-
6500614,Mingau de milho,99,Não se aplica,"6,02","1,35","0,89","0,56","0,50","0,06","0,23","7,20","2,08"
6500702,Amido de milho,99,Não se aplica,"6,02","1,35","0,89","0,56","0,50","0,06","0,23","7,20","2,08"
6500705,Amido de arroz,99,Não se aplica,"9,63","1,84","0,83","0,23","0,15","0,08","0,11","17,40","12,33"
6500801,Cremogema,99,Não se aplica,"6,02","1,35","0,89","0,56","0,50","0,06","0,23","7,20","2,08"
6500802,Vitamilho,99,Não se aplica,-,"0,04","0,03","0,09","0,08",-,-,"0,72",-
6500804,Creme de milho,99,Não se aplica,"6,02","1,35","0,89","0,56","0,50","0,06","0,23","7,20","2,08"
6500902,Sucrilhos de milho,99,Não se aplica,-,-,-,-,-,-,-,"38,02","38,67"
6500903,Cereal matinal de milho em flocos,99,Não se aplica,-,-,-,-,-,-,-,"38,02","38,67"
6501301,Germe de trigo,99,Não se aplica,-,"1,67","1,37","6,01","5,29","0,72",-,"8,70",-
6501303,Fibra de trigo,99,Não se aplica,-,"0,63","0,64","2,21","2,04","0,17",-,"1,60",-
6501304,Fibra de cereal trigo,99,Não se aplica,-,"0,63","0,64","2,21","2,04","0,17",-,"1,60",-
6501401,Farinha de mandioca,99,Não se aplica,-,"0,10","0,10",-,"0,03","0,01","0,10",-,-
6501410,Farinha de copioba,99,Não se aplica,-,"0,10","0,10",-,"0,03","0,01","0,10",-,-
6501415,Farinha d'água,99,Não se aplica,-,"0,10","0,10",-,"0,03","0,01","0,10",-,-
6501416,Cruera,99,Não se aplica,-,"0,10","0,10",-,"0,03","0,01","0,10",-,-
6501502,Goma de mandioca,99,Não se aplica,-,-,-,-,-,-,-,-,-
6501505,Sagu de mandioca,99,Não se aplica,"63,11","1,99","1,21","0,35","0,25","0,07","0,10","13,20","8,60"
6501510,Farinha de tapioca,99,Não se aplica,-,-,-,-,-,-,-,-,-
6501511,Farinha beiju,99,Não se aplica,-,-,-,-,-,-,-,-,-
6501515,Sagu de tapioca,99,Não se aplica,"63,11","1,99","1,21","0,35","0,25","0,07","0,10","13,20","8,60"
6501516,Tapioca de goma,99,Não se aplica,-,-,-,-,-,-,-,-,-
6502001,Farinha láctea,99,Não se aplica,-,-,-,-,-,-,-,-,-
6502101,Neston,99,Não se aplica,-,-,-,-,-,-,-,-,-
6502102,Flocos de cereais,99,Não se aplica,-,-,-,-,-,-,-,-,-
6502105,Vitaflocos,99,Não se aplica,"6,02","1,35","0,89","0,56","0,50","0,06","0,23","7,20","2,08"
6502403,Mini pizza semipronta,1,Cru(a),"11,05","3,28","2,11","2,33","2,04","0,29","0,10","1,73","0,58"
6502403,Mini pizza semipronta,2,Cozido(a),"11,05","3,28","2,11","2,33","2,04","0,29","0,10","1,73","0,58"
6502403,Mini pizza semipronta,4,Assado(a),"11,05","3,28","2,11","2,33","2,04","0,29","0,10","1,73","0,58"
6502403,Mini pizza semipronta,5,Frito(a),"11,05","3,28","2,11","2,33","2,04","0,29","0,10","1,73","0,58"
6502403,Mini pizza semipronta,99,Não se aplica,"11,05","3,28","2,11","2,33","2,04","0,29","0,10","1,73","0,58"
6502501,Fibra de soja,99,Não se aplica,-,"0,29","0,44","1,13","1,00","0,13",-,"0,21",-
6502603,Minipastel,99,Não se aplica,"61,19","3,16","4,24","7,28","6,41","0,81","0,07","0,36",-
6503401,Macarrão ,1,Cru(a),-,"0,18","0,13","0,32","0,30","0,02",-,"0,56",-
6503401,Macarrão ,2,Cozido(a),-,"0,18","0,13","0,32","0,30","0,02",-,"0,56",-
6503401,Macarrão ,3,Grelhado(a)/brasa/churrasco,-,"0,18","0,13","0,32","0,30","0,02",-,"0,56",-
6503401,Macarrão ,4,Assado(a),-,"0,18","0,13","0,32","0,30","0,02",-,"0,56",-
6503401,Macarrão ,5,Frito(a),-,"0,68","0,87","2,19","1,95","0,24","0,02","0,56",-
6503401,Macarrão ,6,Empanado(a)/à milanesa,-,"0,68","0,87","2,19","1,95","0,24","0,02","0,56",-
6503401,Macarrão ,7,Refogado(a),-,"0,68","0,87","2,19","1,95","0,24","0,02","0,56",-
6503401,Macarrão ,8,Molho vermelho,"3,64","0,97","0,43","0,25","0,22","0,02","0,06","1,94",-
6503401,Macarrão ,9,Molho branco,"6,83","1,67","0,74","0,37","0,33","0,04","0,10","1,48",-
6503401,Macarrão ,10,Ao alho e óleo,-,"0,68","0,87","2,19","1,95","0,24","0,02","0,56",-
6503401,Macarrão ,11,Com manteiga/óleo,"7,26","1,91","0,84","0,42","0,39","0,04","0,11","0,56",-
6503401,Macarrão ,12,Ao vinagrete,-,"0,18","0,13","0,32","0,30","0,02",-,"0,56",-
6503401,Macarrão ,13,Ensopado,-,"0,68","0,87","2,19","1,95","0,24","0,02","0,56",-
6503401,Macarrão ,15,Sopa,-,"0,18","0,13","0,32","0,30","0,02",-,"0,56",-
6503401,Macarrão ,99,Não se aplica,-,"0,18","0,13","0,32","0,30","0,02",-,"0,56",-
6503501,Purê de batata,99,Não se aplica,"11,45","2,71","1,11","0,20","0,17","0,03","0,17","1,22",-
6503601,Bife vegetal,99,Não se aplica,-,"0,83","1,16","3,02","2,67","0,35","0,03","0,22",-
6503603,Carne vegetal,5,Frito(a),-,"0,83","1,16","3,02","2,67","0,35","0,03","0,22",-
6503604,Pasta de soja,99,Não se aplica,-,"0,41","0,54","1,49","1,31","0,18",-,"1,27",-
6503605,Carne de soja,99,Não se aplica,-,"0,83","1,16","3,02","2,67","0,35","0,03","0,22",-
6503702,Amendoim moído,99,Não se aplica,-,"6,83","24,43","15,56","15,56","0,00",-,"4,00",-
6504101,Granola ,99,Não se aplica,-,"0,71","3,21","1,66","1,55","0,09",-,"26,22","19,32"
6504601,Musli,99,Não se aplica,-,"0,71","3,21","1,66","1,55","0,09",-,"26,22","19,32"
6504701,Mix de cereais,99,Não se aplica,-,"0,71","3,21","1,66","1,55","0,09",-,"26,22","19,32"
6504801,Miojo,99,Não se aplica,"8,28","2,36","1,82","2,49","2,21","0,28","0,20","4,48","1,73"
6504802,Macarrão instantâneo,99,Não se aplica,"8,28","2,36","1,82","2,49","2,21","0,28","0,20","4,48","1,73"
6505101,Sustagem,99,Não se aplica,"12,33","0,32","0,13","0,02","0,01","0,01","0,03","57,58","32,26"
6505601,Proteína de soja,99,Não se aplica,-,"0,83","1,16","3,02","2,67","0,35","0,03","0,22",-
6505603,Proteína vegetal,99,Não se aplica,-,"0,83","1,16","3,02","2,67","0,35","0,03","0,22",-
6505701,Complemento alimentar de qualquer sabor,99,Não se aplica,"12,33","0,32","0,13","0,02","0,01","0,01","0,03","57,58","32,26"
6505902,Sucrilhos de milho light,99,Não se aplica,-,-,-,-,-,-,-,-,-
6506003,Mini pizza semipronta light,4,Assado(a),"21,88","5,12","2,36","0,43","0,34","0,09","0,17","2,19","0,44"
6506302,Macarrão instantâneo light,15,Sopa,"8,28","2,36","1,82","2,49","2,21","0,28","0,20","4,48","1,73"
6506302,Macarrão instantâneo light,99,Não se aplica,"8,28","2,36","1,82","2,49","2,21","0,28","0,20","4,48","1,73"
6506401,Proteína de soja orgânica,99,Não se aplica,-,"0,83","1,16","3,02","2,67","0,35","0,03","0,22",-
6573225,Macarrão com carne,99,Não se aplica,"9,43","0,74","0,83","0,83","0,73","0,09","0,08","1,40","0,16"
6573226,Macarrão com peixe,99,Não se aplica,"34,00","0,72","0,87","2,16","1,63","0,22","0,02","0,28",-
"Cocos, castanhas e nozes",,,,,,,,,,,,
6600101,Coco-da-baía (seco ou verde),99,Não se aplica,-,"29,70","1,43","0,37","0,37",-,-,"3,50",-
6600301,Castanha portuguesa,99,Não se aplica,-,"0,26","0,48","0,55","0,49","0,06",-,"4,15",-
6600401,Pinhão,99,Não se aplica,-,"0,30","0,10","0,20","0,22",-,-,-,-
6600501,Amêndoa,99,Não se aplica,-,"3,88","32,16","12,21","12,21",-,-,"4,80",-
6600601,Avelã,99,Não se aplica,-,"4,46","45,65","7,92","7,83","0,09",-,"4,84",-
6600701,Castanha-do-pará,99,Não se aplica,-,"15,14","24,55","20,58","20,54","0,04",-,"2,33",-
6600801,Castanha de caju,99,Não se aplica,-,"9,16","27,32","7,84","7,66","0,16",-,"6,20",-
6600912,Butiá,99,Não se aplica,-,-,-,-,-,-,-,-,-
