Tabela 2 - Gorduras e açúcar na composição de alimentos por 100 gramas de parte comestível,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,(continuação)
Código e descrição do alimento ,,Código e descrição da preparação,,"Coles-
terol
(mg)","AG
Satura-
dos
(g)","AG
Mono 
(g)","AG
Poli 
(g)","AG
Lino-
léico 
(g)","AG
Linolê-
nico 
(g)","AG
Trans
total
(g)","Açúcar
total
(g)","Açúcar
de
adição
(g)"
Cereais e leguminosas,,,,,,,,,,,,
7109101,Carne bovina ,15,Sopa,"7,86","0,68","0,79","0,09","0,07","0,02","0,08","0,24",-
7109101,Carne bovina ,99,Não se aplica,"75,00","5,74","7,00","0,61","0,42","0,16","0,68",-,-
7110601,Lombo não especificado,1,Cru(a),"92,00","7,36","9,02","1,89","1,71","0,06","0,04",-,-
7110601,Lombo não especificado,2,Cozido(a),"92,00","7,36","9,02","1,89","1,71","0,06","0,04",-,-
7110601,Lombo não especificado,4,Assado(a),"92,00","7,36","9,02","1,89","1,71","0,06","0,04",-,-
7110601,Lombo não especificado,5,Frito(a),"92,00","8,24","10,30","5,13","4,57","0,44","0,07",-,-
7110601,Lombo não especificado,9,Molho branco,"92,00","7,36","9,02","1,89","1,71","0,06","0,04",-,-
7110801,Músculo não especificado,2,Cozido(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7110801,Músculo não especificado,13,Ensopado,"90,00","2,12","2,58","1,70","1,48","0,19","0,24",-,-
7110902,Ossada não especificada,2,Cozido(a),"109,00","2,31","2,16","0,43","0,32","0,04","0,10",-,-
7110902,Ossada não especificada,7,Refogado(a),"109,00","2,71","2,74","1,91","1,63","0,21","0,11",-,-
7110902,Ossada não especificada,15,Sopa,"109,00","2,31","2,16","0,43","0,32","0,04","0,10",-,-
7110902,Ossada não especificada,99,Não se aplica,"109,00","2,31","2,16","0,43","0,32","0,04","0,10",-,-
7111202,Carne de segunda ,1,Cru(a),"75,00","5,74","7,00","0,61","0,42","0,16","0,68",-,-
7111202,Carne de segunda ,2,Cozido(a),"75,00","5,74","7,00","0,61","0,42","0,16","0,68",-,-
7111202,Carne de segunda ,3,Grelhado(a)/brasa/churrasco,"75,00","5,74","7,00","0,61","0,42","0,16","0,68",-,-
7111202,Carne de segunda ,4,Assado(a),"75,00","5,74","7,00","0,61","0,42","0,16","0,68",-,-
7111202,Carne de segunda ,5,Frito(a),"75,00","6,14","7,59","2,09","1,72","0,34","0,69",-,-
7111202,Carne de segunda ,6,Empanado(a)/à milanesa,"75,00","6,15","7,59","2,11","1,74","0,34","0,69","0,01",-
7111202,Carne de segunda ,7,Refogado(a),"75,00","6,14","7,59","2,09","1,72","0,34","0,69",-,-
7111202,Carne de segunda ,8,Molho vermelho,"60,00","4,60","5,61","0,51","0,35","0,13","0,54","0,85",-
7111202,Carne de segunda ,10,Ao alho e óleo,"80,74","7,11","7,56","0,69","0,49","0,17","0,77","0,00",-
7111202,Carne de segunda ,13,Ensopado,"75,00","6,14","7,59","2,09","1,72","0,34","0,69",-,-
7111401,Contrafilé orgânico,4,Assado(a),"58,00","3,42","3,92","0,35","0,24","0,09","0,41",-,-
7111405,Bisteca orgânica,4,Assado(a),"94,00","17,80","18,88","1,53","0,98","0,50","1,91",-,-
7111405,Bisteca orgânica,5,Frito(a),"94,00","17,80","18,88","1,53","0,98","0,50","1,91",-,-
7111702,Cabeça de lombo (carne bovina) orgânica,1,Cru(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7111702,Cabeça de lombo (carne bovina) orgânica,4,Assado(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7111702,Cabeça de lombo (carne bovina) orgânica,5,Frito(a),"90,00","2,60","3,28","3,46","3,03","0,40","0,26",-,-
7111806,Tatu (lagarto redondo) orgânico,4,Assado(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
Pescados e frutos do mar,,,,,,,,,,,,
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",1,Cru(a),"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",2,Cozido(a),"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",3,Grelhado(a)/brasa/churrasco,"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",4,Assado(a),"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",5,Frito(a),"68,00","0,73","0,87","2,13","1,32","0,19",-,-,-
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",6,Empanado(a)/à milanesa,"68,00","0,74","0,88","2,15","1,34","0,19",-,"0,01",-
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",8,Molho vermelho,"54,40","0,30","0,23","0,53","0,03","0,01",-,"0,85",-
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",9,Molho branco,"68,33","2,32","1,30","1,06","0,45","0,09","0,11","0,39",-
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",13,Ensopado,"68,00","0,73","0,87","2,13","1,32","0,19",-,-,-
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.) ",2,Cozido(a),"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.) ",3,Grelhado(a)/brasa/churrasco,"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.) ",4,Assado(a),"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.) ",5,Frito(a),"68,00","0,73","0,87","2,13","1,32","0,19",-,-,-
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.) ",6,Empanado(a)/à milanesa,"68,00","0,74","0,88","2,15","1,34","0,19",-,"0,01",-
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.) ",9,Molho branco,"68,33","2,32","1,30","1,06","0,45","0,09","0,11","0,39",-
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.) ",13,Ensopado,"68,00","0,73","0,87","2,13","1,32","0,19",-,-,-
7260101,Camarão,1,Cru(a),"195,00","0,29","0,20","0,44","0,02","0,01","0,02",-,-
7260101,Camarão ,2,Cozido(a),"195,00","0,29","0,20","0,44","0,02","0,01","0,02",-,-
7260101,Camarão,3,Grelhado(a)/brasa/churrasco,"195,00","0,29","0,20","0,44","0,02","0,01","0,02",-,-
7260101,Camarão,4,Assado(a),"195,00","0,29","0,20","0,44","0,02","0,01","0,02",-,-
7260101,Camarão,5,Frito(a),"195,00","0,66","0,79","1,92","1,33","0,19","0,02",-,-
7260101,Camarão,6,Empanado(a)/à milanesa,"195,00","0,66","0,80","1,94","1,35","0,19","0,02","0,01",-
7260101,Camarão,7,Refogado(a),"195,00","0,66","0,79","1,92","1,33","0,19","0,02",-,-
7260101,Camarão,8,Molho vermelho,"156,00","0,24","0,16","0,37","0,03","0,01","0,02","0,85",-
7260101,Camarão,9,Molho branco,"169,93","2,26","1,24","0,89","0,46","0,09","0,13","0,39",-
7260101,Camarão,10,Ao alho e óleo,"195,00","0,66","0,79","1,92","1,33","0,19","0,02",-,-
7260101,Camarão,13,Ensopado,"195,00","0,66","0,79","1,92","1,33","0,19","0,02",-,-
7260101,Camarão,99,Não se aplica,"195,00","0,29","0,20","0,44","0,02","0,01","0,02",-,-
7261101,Siri,2,Cozido(a),"100,00","0,23","0,28","0,68","0,03","0,02",-,-,-
7261101,Siri,6,Empanado(a)/à milanesa,"100,00","0,64","0,87","2,18","1,35","0,20","0,01","0,01",-
7261101,Siri,7,Refogado(a),"100,00","0,60","0,88","2,16","1,34","0,20",-,-,-
7261120,Bau (siri),2,Cozido(a),"100,00","0,23","0,28","0,68","0,03","0,02",-,-,-
7261121,Goiá,1,Cru(a),"100,00","0,23","0,28","0,68","0,03","0,02",-,-,-
7262101,Caranguejo,2,Cozido(a),"100,00","0,23","0,28","0,68","0,03","0,02",-,-,-
7262101,Caranguejo,4,Assado(a),"100,00","0,23","0,28","0,68","0,03","0,02",-,-,-
7262101,Caranguejo,12,Ao vinagrete,"100,00","0,23","0,28","0,68","0,03","0,02",-,-,-
7262105,Guaiamu,2,Cozido(a),"100,00","0,23","0,28","0,68","0,03","0,02",-,-,-
7263101,Marisco,2,Cozido(a),"67,00","0,19","0,17","0,55","0,03","0,01",-,-,-
7263101,Marisco,5,Frito(a),"67,00","0,59","0,76","2,03","1,34","0,18","0,01",-,-
7263101,Marisco,8,Molho vermelho,"53,60","0,16","0,14","0,46","0,04","0,01",-,"0,85",-
7263101,Marisco,99,Não se aplica,"67,00","0,19","0,17","0,55","0,03","0,01",-,-,-
7264101,Ostra,2,Cozido(a),"105,00","1,54","0,63","1,94","0,12","0,10",-,-,-
7265101,Lula,6,Empanado(a)/à milanesa,"267,00","0,83","0,69","1,98","1,33","0,19","0,01","0,01",-
7266101,Sururu,2,Cozido(a),"67,00","0,19","0,17","0,55","0,03","0,01",-,-,-
7266101,Sururu,13,Ensopado,"67,00","0,59","0,76","2,03","1,34","0,18","0,01",-,-
7270401,Bacalhau,2,Cozido(a),"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7270401,Bacalhau,4,Assado(a),"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7270401,Bacalhau,5,Frito(a),"68,00","0,73","0,87","2,13","1,32","0,19",-,-,-
7270401,Bacalhau,6,Empanado(a)/à milanesa,"68,00","0,74","0,88","2,15","1,34","0,19",-,"0,01",-
7270401,Bacalhau,7,Refogado(a),"68,00","0,73","0,87","2,13","1,32","0,19",-,-,-
7270401,Bacalhau,8,Molho vermelho,"54,40","0,30","0,23","0,53","0,03","0,01",-,"0,85",-
7270401,Bacalhau,13,Ensopado,"68,00","0,73","0,87","2,13","1,32","0,19",-,-,-
7270401,Bacalhau,99,Não se aplica,"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7273101,Ovas de peixe (qualquer espécie),4,Assado(a),"479,00","1,87","2,13","3,40","0,04","0,01",-,-,-
7273101,Ovas de peixe (qualquer espécie),5,Frito(a),"479,00","2,27","2,71","4,88","1,34","0,18","0,01",-,-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",1,Cru(a),"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",2,Cozido(a),"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",3,Grelhado(a)/brasa/churrasco,"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",4,Assado(a),"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",5,Frito(a),"68,00","0,73","0,87","2,13","1,32","0,19",-,-,-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",6,Empanado(a)/à milanesa,"68,00","0,74","0,88","2,15","1,34","0,19",-,"0,01",-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",7,Refogado(a),"68,00","0,73","0,87","2,13","1,32","0,19",-,-,-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",8,Molho vermelho,"54,40","0,30","0,23","0,53","0,03","0,01",-,"0,85",-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",9,Molho branco,"61,23","1,82","0,86","0,63","0,10","0,04","0,10","1,03",-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",13,Ensopado,"68,00","0,73","0,87","2,13","1,32","0,19",-,-,-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",99,Não se aplica,"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.) ",2,Cozido(a),"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.) ",3,Grelhado(a)/brasa/churrasco,"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.) ",4,Assado(a),"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.) ",5,Frito(a),"68,00","0,73","0,87","2,13","1,32","0,19",-,-,-
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.) ",6,Empanado(a)/à milanesa,"68,00","0,74","0,88","2,15","1,34","0,19",-,"0,01",-
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.) ",8,Molho vermelho,"54,40","0,30","0,23","0,53","0,03","0,01",-,"0,85",-
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.) ",13,Ensopado,"68,00","0,73","0,87","2,13","1,32","0,19",-,-,-
7444101,Tracajá,2,Cozido(a),"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",1,Cru(a),"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",2,Cozido(a),"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",3,Grelhado(a)/brasa/churrasco,"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",4,Assado(a),"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",5,Frito(a),"68,00","0,73","0,87","2,13","1,32","0,19",-,-,-
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",6,Empanado(a)/à milanesa,"68,00","0,74","0,88","2,15","1,34","0,19",-,"0,01",-
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",7,Refogado(a),"68,00","0,73","0,87","2,13","1,32","0,19",-,-,-
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",8,Molho vermelho,"54,40","0,30","0,23","0,53","0,03","0,01",-,"0,85",-
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",9,Molho branco,"68,33","2,32","1,30","1,06","0,45","0,09","0,11","0,39",-
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",13,Ensopado,"68,00","0,73","0,87","2,13","1,32","0,19",-,-,-
7600401,"Peixe não especificado salgado (inteiro, em posta, em filé, etc.)",2,Cozido(a),"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7600401,"Peixe não especificado salgado (inteiro, em posta, em filé, etc.)",3,Grelhado(a)/brasa/churrasco,"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7600401,"Peixe não especificado salgado (inteiro, em posta, em filé, etc.)",4,Assado(a),"68,00","0,36","0,28","0,65","0,01","0,02",-,-,-
7600401,"Peixe não especificado salgado (inteiro, em posta, em filé, etc.)",5,Frito(a),"68,00","0,73","0,87","2,13","1,32","0,19",-,-,-
7600401,"Peixe não especificado salgado (inteiro, em posta, em filé, etc.)",6,Empanado(a)/à milanesa,"68,00","0,74","0,88","2,15","1,34","0,19",-,"0,01",-
Enlatados e conservas,,,,,,,,,,,,
7700101,Azeitona,99,Não se aplica,-,"2,03","11,31","1,31","1,22","0,09",-,-,-
7700201,Ervilha em conserva,99,Não se aplica,-,"0,06","0,03","0,16","0,13","0,03",-,"4,16",-
7700202,Petit-pois,99,Não se aplica,-,"0,06","0,03","0,16","0,13","0,03",-,"4,16",-
7700401,Milho verde em conserva,99,Não se aplica,-,"0,17","0,23","0,45","0,41","0,02",-,"3,04",-
7700501,Palmito em conserva,99,Não se aplica,-,"0,13","0,10","0,20","0,18","0,02",-,-,-
7700601,Cogumelo em conserva,99,Não se aplica,-,"0,49","0,67","1,80","1,60","0,20","0,02","1,44",-
7700602,Champignon em conserva,99,Não se aplica,-,"0,49","0,67","1,80","1,60","0,20","0,02","1,44",-
7700701,Aspargo em conserva,99,Não se aplica,-,"0,15","0,02","0,28","0,27","0,02",-,"1,10",-
7700901,Repolho em conserva,99,Não se aplica,-,"0,03","0,01","0,07","0,03","0,03",-,"0,18",-
7700902,Chucrute,99,Não se aplica,-,"0,03","0,01","0,07","0,03","0,03",-,"0,18",-
7701101,Legume não especificado em conserva,99,Não se aplica,-,"0,05","0,01","0,12","0,10","0,01",-,"3,20",-
7701404,Creme de cebola (sopa desidratada),99,Não se aplica,"5,95","0,79","0,84","0,69","0,66","0,03","0,29","2,67",-
7701405,Creme de legumes (sopa desidratada),99,Não se aplica,-,"0,00","0,00","0,01","0,01","0,00",-,"0,37",-
7701406,Yakissoba ,99,Não se aplica,-,"4,38","7,69","17,33","15,35","1,98",-,"1,53",-
7701501,Milho verde com ervilha em conserva,1,Cru(a),-,"0,08","0,11","0,23","0,21","0,02",-,"3,85",-
7701501,Milho verde com ervilha em conserva,2,Cozido(a),-,"0,08","0,11","0,23","0,21","0,02",-,"3,85",-
7701501,Milho verde com ervilha em conserva,5,Frito(a),-,"0,08","0,11","0,23","0,21","0,02",-,"3,85",-
7701501,Milho verde com ervilha em conserva,99,Não se aplica,-,"0,08","0,11","0,23","0,21","0,02",-,"3,85",-
7701901,Feijoada,99,Não se aplica,"16,27","2,49","3,05","1,66","1,40","0,23","0,07","2,67","0,46"
7702001,Feijão branco com dobradinha em conserva,99,Não se aplica,"78,48","1,77","2,28","1,06","0,89","0,10","0,11","0,54",-
7702101,Cozido,99,Não se aplica,"12,75","1,30","1,67","0,41","0,35","0,05","0,08","1,16","0,02"
7702302,Pasta de carne em conserva,99,Não se aplica,"39,86","4,48","5,83","4,96","4,38","0,53","0,26","8,54","12,12"
7702402,Pasta de presunto em conserva,99,Não se aplica,"67,32","7,26","9,52","2,80","2,45","0,14","0,16","1,80","1,80"
7702502,Pasta de galinha em conserva,99,Não se aplica,"52,35","3,89","6,36","3,08","2,79","0,15","0,72","0,66",-
7702601,Carne bovina em conserva,99,Não se aplica,"75,00","5,74","7,00","0,61","0,42","0,16","0,68",-,-
7702602,Almôndega ,99,Não se aplica,"103,27","3,48","3,64","0,68","0,57","0,06","0,46","2,24","1,55"
7702603,Kitute bovino,99,Não se aplica,"75,00","5,74","7,00","0,61","0,42","0,16","0,68",-,-
7702604,Almôndega ao molho em conserva,99,Não se aplica,"81,81","4,03","4,67","0,60","0,51","0,05","0,58","2,67","1,21"
7702704,Kitute suíno,99,Não se aplica,"59,00","3,12","4,44","1,41","1,17","0,24","0,03",-,-
7702705,Presuntada,99,Não se aplica,"59,00","3,12","4,44","1,41","1,17","0,24","0,03",-,-
7702707,Fiambre ,1,Cru(a),"59,00","3,12","4,44","1,41","1,17","0,24","0,03",-,-
7702707,Fiambre ,2,Cozido(a),"59,00","3,12","4,44","1,41","1,17","0,24","0,03",-,-
7702707,Fiambre ,4,Assado(a),"59,00","3,12","4,44","1,41","1,17","0,24","0,03",-,-
7702707,Fiambre ,5,Frito(a),"59,00","3,12","4,44","1,41","1,17","0,24","0,03",-,-
7702801,Salsicha em conserva,99,Não se aplica,"46,45","8,28","11,14","4,53","4,15","0,20","0,29","0,21","0,17"
7703002,Sardinha em conserva,99,Não se aplica,"142,00","1,53","3,87","5,15","3,54","0,50",-,-,-
7703402,Atum em conserva,99,Não se aplica,"18,00","1,53","2,95","2,89","2,68","0,07",-,-,-
7703701,Pepino em conserva,99,Não se aplica,-,"0,04","0,00","0,06","0,02","0,03",-,"1,31",-
7703902,Pasta de peixe em conserva,99,Não se aplica,"18,00","1,53","2,95","2,89","2,68","0,07",-,-,-
7704001,Picles,99,Não se aplica,-,"0,04","0,00","0,06","0,02","0,03",-,"1,31",-
7705201,Nabo em conserva,99,Não se aplica,-,"0,02","0,07","0,06","0,02","0,04",-,"8,56","3,97"
7705401,Strogonoff ,99,Não se aplica,"33,44","3,81","2,98","1,53","1,29","0,23","0,29","1,60","0,38"
7706001,Salmão em conserva,99,Não se aplica,"82,00","0,85","0,89","1,35","0,07","0,06",-,-,-
7706104,Creme de cebola (sopa desidratada) light,99,Não se aplica,"5,95","0,79","0,84","0,69","0,66","0,03","0,29","2,67",-
7706105,Creme de legumes (sopa desidratada) light,99,Não se aplica,-,"0,00","0,00","0,01","0,01","0,00",-,"0,37",-
7706106,Yakissoba (sopa de legumes desidratada) light,99,Não se aplica,-,"0,09","0,07","0,16","0,15","0,01",-,"0,35",-
7706302,Atum em conserva light,99,Não se aplica,"30,00","0,23","0,16","0,34","0,01","0,00",-,-,-
Aves e ovos  ,,,,,,,,,,,,
7800103,Frango inteiro,1,Cru(a),"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800103,Frango inteiro,2,Cozido(a),"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800103,Frango inteiro,3,Grelhado(a)/brasa/churrasco,"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800103,Frango inteiro,4,Assado(a),"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800103,Frango inteiro,5,Frito(a),"88,00","4,19","5,92","4,45","3,88","0,28","0,46",-,-
7800103,Frango inteiro,6,Empanado(a)/à milanesa,"88,00","4,20","5,93","4,47","3,89","0,29","0,46","0,01",-
7800103,Frango inteiro,7,Refogado(a),"88,00","4,19","5,92","4,45","3,88","0,28","0,46",-,-
7800103,Frango inteiro,8,Molho vermelho,"70,40","3,04","4,28","2,39","2,07","0,09","0,36","0,85",-
7800103,Frango inteiro,13,Ensopado,"88,00","4,19","5,92","4,45","3,88","0,28","0,46",-,-
7800301,Parte de galinha ou frango não especificada,1,Cru(a),"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800301,Parte de galinha ou frango não especificada,2,Cozido(a),"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800301,Parte de galinha ou frango não especificada,3,Grelhado(a)/brasa/churrasco,"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800301,Parte de galinha ou frango não especificada,4,Assado(a),"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800301,Parte de galinha ou frango não especificada,5,Frito(a),"88,00","4,19","5,92","4,45","3,88","0,28","0,46",-,-
7800301,Parte de galinha ou frango não especificada,6,Empanado(a)/à milanesa,"88,00","4,20","5,93","4,47","3,89","0,29","0,46","0,01",-
7800301,Parte de galinha ou frango não especificada,7,Refogado(a),"88,00","4,19","5,92","4,45","3,88","0,28","0,46",-,-
7800301,Parte de galinha ou frango não especificada,8,Molho vermelho,"70,40","3,04","4,28","2,39","2,07","0,09","0,36","0,85",-
7800301,Parte de galinha ou frango não especificada,13,Ensopado,"88,00","4,19","5,92","4,45","3,88","0,28","0,46",-,-
7800301,Parte de galinha ou frango não especificada,99,Não se aplica,"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800302,Frango em pedaços,1,Cru(a),"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800302,Frango em pedaços,2,Cozido(a),"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800302,Frango em pedaços,3,Grelhado(a)/brasa/churrasco,"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800302,Frango em pedaços,4,Assado(a),"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800302,Frango em pedaços,5,Frito(a),"88,00","4,19","5,92","4,45","3,88","0,28","0,46",-,-
7800302,Frango em pedaços,6,Empanado(a)/à milanesa,"88,00","4,20","5,93","4,47","3,89","0,29","0,46","0,01",-
7800302,Frango em pedaços,7,Refogado(a),"88,00","4,19","5,92","4,45","3,88","0,28","0,46",-,-
7800302,Frango em pedaços,8,Molho vermelho,"70,40","3,04","4,28","2,39","2,07","0,09","0,36","0,85",-
7800302,Frango em pedaços,9,Molho branco,"72,35","3,74","4,93","3,68","3,20","0,25","0,39","1,03",-
7800302,Frango em pedaços,10,Ao alho e óleo,"88,00","4,19","5,92","4,45","3,88","0,28","0,46",-,-
7800302,Frango em pedaços,11,Com manteiga/óleo,"90,74","2,64","2,10","1,06","0,81","0,05","0,18","0,00",-
7800302,Frango em pedaços,13,Ensopado,"88,00","4,19","5,92","4,45","3,88","0,28","0,46",-,-
7800302,Frango em pedaços,15,Sopa,"3,19","0,31","0,45","0,23","0,21","0,01","0,02","0,11",-
7800302,Frango em pedaços,99,Não se aplica,"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800303,Galinha em pedaços ,2,Cozido(a),"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800303,Galinha em pedaços ,3,Grelhado(a)/brasa/churrasco,"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800303,Galinha em pedaços ,4,Assado(a),"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800303,Galinha em pedaços ,5,Frito(a),"88,00","4,19","5,92","4,45","3,88","0,28","0,46",-,-
7800303,Galinha em pedaços ,6,Empanado(a)/à milanesa,"88,00","4,20","5,93","4,47","3,89","0,29","0,46","0,01",-
7800303,Galinha em pedaços ,7,Refogado(a),"88,00","4,19","5,92","4,45","3,88","0,28","0,46",-,-
7800303,Galinha em pedaços ,8,Molho vermelho,"70,40","3,04","4,28","2,39","2,07","0,09","0,36","0,85",-
7800303,Galinha em pedaços ,9,Molho branco,"72,35","3,74","4,93","3,68","3,20","0,25","0,39","1,03",-
7800303,Galinha em pedaços ,13,Ensopado,"88,00","4,19","5,92","4,45","3,88","0,28","0,46",-,-
7800304,Carne de galinha ,1,Cru(a),"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800304,Carne de galinha ,2,Cozido(a),"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800304,Carne de galinha ,3,Grelhado(a)/brasa/churrasco,"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800304,Carne de galinha ,4,Assado(a),"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800304,Carne de galinha ,5,Frito(a),"88,00","4,19","5,92","4,45","3,88","0,28","0,46",-,-
7800304,Carne de galinha ,6,Empanado(a)/à milanesa,"88,00","4,20","5,93","4,47","3,89","0,29","0,46","0,01",-
7800304,Carne de galinha ,7,Refogado(a),"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800304,Carne de galinha ,8,Molho vermelho,"88,00","4,19","5,92","4,45","3,88","0,28","0,46",-,-
7800304,Carne de galinha ,9,Molho branco,"72,35","3,74","4,93","3,68","3,20","0,25","0,39","1,03",-
7800304,Carne de galinha ,13,Ensopado,"88,00","4,19","5,92","4,45","3,88","0,28","0,46",-,-
7800304,Carne de galinha ,15,Sopa,"3,19","0,31","0,45","0,23","0,21","0,01","0,02","0,11",-
7800304,Carne de galinha ,99,Não se aplica,"88,00","3,79","5,34","2,97","2,57","0,11","0,45",-,-
7800401,Peito de galinha ou frango,1,Cru(a),"85,00","1,27","1,54","0,98","0,74","0,04","0,09",-,-
7800401,Peito de galinha ou frango,2,Cozido(a),"85,00","1,27","1,54","0,98","0,74","0,04","0,09",-,-
7800401,Peito de galinha ou frango,3,Grelhado(a)/brasa/churrasco,"85,00","1,27","1,54","0,98","0,74","0,04","0,09",-,-
7800401,Peito de galinha ou frango,4,Assado(a),"85,00","1,27","1,54","0,98","0,74","0,04","0,09",-,-
7800401,Peito de galinha ou frango,5,Frito(a),"85,00","1,67","2,12","2,46","2,05","0,21","0,10",-,-
